name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-326 b,921,5.82 Earths,15.982,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-326 b,921,5.82 Earths,15.982,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-326 b,921,5.82 Earths,15.982,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-326 b,921,5.82 Earths,15.982,2020
K2-334 b,1213,27.2 Earths,11.842,2018
K2-335 b,1820,5.52 Earths,12.556,2016
K2-336 b,781,1.98 Earths,12.803,2016
K2-337 b,1375,7.37 Earths,12.385,2016
K2-338 b,512,1.08 Earths,13.322,2016
K2-339 b,1175,4.35 Earths,14.487,2019
K2-33 b,454,3.7 Jupiters,15.838,2016
K2-340 b,2408,11.2 Earths,14.428,2016
K2-341 b,1375,10.4 Earths,12.725,2018
K2-342 b,680,4.78 Earths,11.338,2018
K2-334 b,1213,27.2 Earths,11.842,2018
K2-335 b,1820,5.52 Earths,12.556,2016
K2-336 b,781,1.98 Earths,12.803,2016
K2-337 b,1375,7.37 Earths,12.385,2016
K2-338 b,512,1.08 Earths,13.322,2016
K2-339 b,1175,4.35 Earths,14.487,2019
K2-33 b,454,3.7 Jupiters,15.838,2016
K2-340 b,2408,11.2 Earths,14.428,2016
K2-341 b,1375,10.4 Earths,12.725,2018
K2-342 b,680,4.78 Earths,11.338,2018
K2-334 b,1213,27.2 Earths,11.842,2018
K2-335 b,1820,5.52 Earths,12.556,2016
K2-336 b,781,1.98 Earths,12.803,2016
K2-337 b,1375,7.37 Earths,12.385,2016
K2-338 b,512,1.08 Earths,13.322,2016
K2-339 b,1175,4.35 Earths,14.487,2019
K2-33 b,454,3.7 Jupiters,15.838,2016
K2-340 b,2408,11.2 Earths,14.428,2016
K2-341 b,1375,10.4 Earths,12.725,2018
K2-342 b,680,4.78 Earths,11.338,2018
K2-36 b,358,3.9 Earths,11.726,2016
K2-36 c,358,7.8 Earths,11.726,2016
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-38 b,629,19.0698 Earths,11.344,2016
K2-38 c,629,9.9 Earths,11.344,2016
K2-39 b,1003,28.6047 Earths,10.831,2016
K2-3 b,144,6.48 Earths,12.168,2015
K2-3 c,144,2.14 Earths,12.168,2015
K2-36 b,358,3.9 Earths,11.726,2016
K2-36 c,358,7.8 Earths,11.726,2016
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-38 b,629,19.0698 Earths,11.344,2016
K2-38 c,629,9.9 Earths,11.344,2016
K2-39 b,1003,28.6047 Earths,10.831,2016
K2-3 b,144,6.48 Earths,12.168,2015
K2-3 c,144,2.14 Earths,12.168,2015
K2-59 b,1016,6.39 Earths,14.266,2016
K2-59 c,1016,5.9 Earths,14.266,2016
K2-5 b,662,4.31 Earths,14.974,2015
K2-5 c,662,5.73 Earths,14.974,2015
K2-60 b,1604,0.426 Jupiters,12.857,2016
K2-61 b,1323,6.71 Earths,13.173,2016
K2-62 b,367,5.22 Earths,12.391,2016
K2-62 c,367,5.22 Earths,12.391,2016
K2-63 b,1688,10.5 Earths,12.98,2016
K2-63 c,1688,14.5 Earths,12.98,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-35 b,824,2.3 Earths,14.166,2016
K2-35 c,824,4.38 Earths,14.166,2016
K2-59 b,1016,6.39 Earths,14.266,2016
K2-59 c,1016,5.9 Earths,14.266,2016
K2-5 b,662,4.31 Earths,14.974,2015
K2-5 c,662,5.73 Earths,14.974,2015
K2-60 b,1604,0.426 Jupiters,12.857,2016
K2-61 b,1323,6.71 Earths,13.173,2016
K2-62 b,367,5.22 Earths,12.391,2016
K2-62 c,367,5.22 Earths,12.391,2016
K2-63 b,1688,10.5 Earths,12.98,2016
K2-63 c,1688,14.5 Earths,12.98,2016
K2-59 b,1016,6.39 Earths,14.266,2016
K2-59 c,1016,5.9 Earths,14.266,2016
K2-5 b,662,4.31 Earths,14.974,2015
K2-5 c,662,5.73 Earths,14.974,2015
K2-60 b,1604,0.426 Jupiters,12.857,2016
K2-61 b,1323,6.71 Earths,13.173,2016
K2-62 b,367,5.22 Earths,12.391,2016
K2-62 c,367,5.22 Earths,12.391,2016
K2-63 b,1688,10.5 Earths,12.98,2016
K2-63 c,1688,14.5 Earths,12.98,2016
K2-59 b,1016,6.39 Earths,14.266,2016
K2-59 c,1016,5.9 Earths,14.266,2016
K2-5 b,662,4.31 Earths,14.974,2015
K2-5 c,662,5.73 Earths,14.974,2015
K2-60 b,1604,0.426 Jupiters,12.857,2016
K2-61 b,1323,6.71 Earths,13.173,2016
K2-62 b,367,5.22 Earths,12.391,2016
K2-62 c,367,5.22 Earths,12.391,2016
K2-63 b,1688,10.5 Earths,12.98,2016
K2-63 c,1688,14.5 Earths,12.98,2016
K2-59 b,1016,6.39 Earths,14.266,2016
K2-59 c,1016,5.9 Earths,14.266,2016
K2-5 b,662,4.31 Earths,14.974,2015
K2-5 c,662,5.73 Earths,14.974,2015
K2-60 b,1604,0.426 Jupiters,12.857,2016
K2-61 b,1323,6.71 Earths,13.173,2016
K2-62 b,367,5.22 Earths,12.391,2016
K2-62 c,367,5.22 Earths,12.391,2016
K2-63 b,1688,10.5 Earths,12.98,2016
K2-63 c,1688,14.5 Earths,12.98,2016
K2-59 b,1016,6.39 Earths,14.266,2016
K2-59 c,1016,5.9 Earths,14.266,2016
K2-5 b,662,4.31 Earths,14.974,2015
K2-5 c,662,5.73 Earths,14.974,2015
K2-60 b,1604,0.426 Jupiters,12.857,2016
K2-61 b,1323,6.71 Earths,13.173,2016
K2-62 b,367,5.22 Earths,12.391,2016
K2-62 c,367,5.22 Earths,12.391,2016
K2-63 b,1688,10.5 Earths,12.98,2016
K2-63 c,1688,14.5 Earths,12.98,2016
K2-59 b,1016,6.39 Earths,14.266,2016
K2-59 c,1016,5.9 Earths,14.266,2016
K2-5 b,662,4.31 Earths,14.974,2015
K2-5 c,662,5.73 Earths,14.974,2015
K2-60 b,1604,0.426 Jupiters,12.857,2016
K2-61 b,1323,6.71 Earths,13.173,2016
K2-62 b,367,5.22 Earths,12.391,2016
K2-62 c,367,5.22 Earths,12.391,2016
K2-63 b,1688,10.5 Earths,12.98,2016
K2-63 c,1688,14.5 Earths,12.98,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-100 d,994,3 Earths,11.055,2014
Kepler-1010 b,1890,5.99 Earths,14.964,2016
Kepler-1011 b,2403,8.6 Earths,15.294,2016
Kepler-1012 b,1341,2.21 Earths,13.486,2016
Kepler-1013 b,1377,5.27 Earths,14.563,2016
Kepler-1014 b,2038,6.3 Earths,14.866,2016
Kepler-1015 b,2412,12.3 Earths,12.825,2016
Kepler-1016 b,4576,5.39 Earths,15.531,2016
Kepler-1016 c,4576,13.1 Earths,15.531,2016
Kepler-1017 b,1801,4.62 Earths,14.315,2016
Kepler-1026 b,1146,5.52 Earths,14.463,2016
Kepler-1027 b,1321,0.64 Earths,12.994,2016
Kepler-1028 b,1983,2.33 Earths,14.611,2016
Kepler-1029 b,1196,2.13 Earths,14.434,2016
Kepler-102 b,352,4.3 Earths,12.072,2014
Kepler-102 c,352,3 Earths,12.072,2014
Kepler-102 d,352,3.8 Earths,12.072,2014
Kepler-102 e,352,8.93 Earths,12.072,2013
Kepler-102 f,352,5.2 Earths,12.072,2014
Kepler-1030 b,2475,6.71 Earths,16.003,2016
Kepler-1031 b,2228,0.59 Earths,13.877,2016
Kepler-1032 b,2195,4.16 Earths,16.007,2016
Kepler-1033 b,4748,6.85 Earths,16.186,2016
Kepler-1034 b,2135,5.73 Earths,15.269,2016
Kepler-1035 b,1834,1.71 Earths,13.097,2016
Kepler-1036 b,1597,9.32 Earths,13.87,2016
Kepler-1037 b,1458,2.18 Earths,14.475,2016
Kepler-1038 b,1905,12.2 Earths,15.03,2016
Kepler-1039 b,1001,2.73 Earths,14.438,2016
Kepler-103 b,1614,9.7 Earths,11.883,2014
Kepler-1048 b,1814,3.22 Earths,15.138,2016
Kepler-1049 b,528,0.809 Earths,14.695,2016
Kepler-104 b,1307,19.6 Earths,12.697,2014
Kepler-104 c,1307,9.96 Earths,12.697,2014
Kepler-104 d,1307,12.5 Earths,12.697,2014
Kepler-1050 b,1600,3.19 Earths,13.198,2016
Kepler-1050 c,1600,2.79 Earths,13.198,2016
Kepler-1051 b,2705,11.5 Earths,13.212,2016
Kepler-1052 b,3078,8.91 Earths,14.932,2016
Kepler-1053 b,493,0.904 Earths,13.576,2016
Kepler-1048 b,1814,3.22 Earths,15.138,2016
Kepler-1049 b,528,0.809 Earths,14.695,2016
Kepler-104 b,1307,19.6 Earths,12.697,2014
Kepler-104 c,1307,9.96 Earths,12.697,2014
Kepler-104 d,1307,12.5 Earths,12.697,2014
Kepler-1050 b,1600,3.19 Earths,13.198,2016
Kepler-1050 c,1600,2.79 Earths,13.198,2016
Kepler-1051 b,2705,11.5 Earths,13.212,2016
Kepler-1052 b,3078,8.91 Earths,14.932,2016
Kepler-1053 b,493,0.904 Earths,13.576,2016
Kepler-108 b,1105,0.176 Jupiters,12.657,2014
Kepler-108 c,1105,0.16 Jupiters,12.657,2014
Kepler-1090 b,2801,5.69 Earths,15.31,2016
Kepler-1091 b,2982,2.73 Earths,14.874,2016
Kepler-1092 b,3201,4.94 Earths,14.659,2016
Kepler-1093 b,3500,4.46 Earths,13.781,2016
Kepler-1093 c,3500,4.5 Earths,13.781,2016
Kepler-1094 b,4211,10.2 Earths,15.318,2016
Kepler-1095 b,2585,1.92 Earths,14.597,2016
Kepler-1096 b,1233,2.07 Earths,15.438,2016
Kepler-108 b,1105,0.176 Jupiters,12.657,2014
Kepler-108 c,1105,0.16 Jupiters,12.657,2014
Kepler-1090 b,2801,5.69 Earths,15.31,2016
Kepler-1091 b,2982,2.73 Earths,14.874,2016
Kepler-1092 b,3201,4.94 Earths,14.659,2016
Kepler-1093 b,3500,4.46 Earths,13.781,2016
Kepler-1093 c,3500,4.5 Earths,13.781,2016
Kepler-1094 b,4211,10.2 Earths,15.318,2016
Kepler-1095 b,2585,1.92 Earths,14.597,2016
Kepler-1096 b,1233,2.07 Earths,15.438,2016
Kepler-108 b,1105,0.176 Jupiters,12.657,2014
Kepler-108 c,1105,0.16 Jupiters,12.657,2014
Kepler-1090 b,2801,5.69 Earths,15.31,2016
Kepler-1091 b,2982,2.73 Earths,14.874,2016
Kepler-1092 b,3201,4.94 Earths,14.659,2016
Kepler-1093 b,3500,4.46 Earths,13.781,2016
Kepler-1093 c,3500,4.5 Earths,13.781,2016
Kepler-1094 b,4211,10.2 Earths,15.318,2016
Kepler-1095 b,2585,1.92 Earths,14.597,2016
Kepler-1096 b,1233,2.07 Earths,15.438,2016
Kepler-1111 b,2745,4.66 Earths,14.88,2016
Kepler-1112 b,5452,9.38 Earths,14.74,2016
Kepler-1113 b,3503,8.3 Earths,14.943,2016
Kepler-1114 b,1365,2.39 Earths,13.935,2016
Kepler-1115 b,3207,3.53 Earths,11.983,2016
Kepler-1116 b,3290,6.99 Earths,15.424,2016
Kepler-1117 b,1854,1.41 Earths,14.15,2016
Kepler-1118 b,2898,7.95 Earths,15.238,2016
Kepler-1119 b,5732,4.35 Earths,15.296,2016
Kepler-111 b,2144,3.12 Earths,13.543,2014
Kepler-1111 b,2745,4.66 Earths,14.88,2016
Kepler-1112 b,5452,9.38 Earths,14.74,2016
Kepler-1113 b,3503,8.3 Earths,14.943,2016
Kepler-1114 b,1365,2.39 Earths,13.935,2016
Kepler-1115 b,3207,3.53 Earths,11.983,2016
Kepler-1116 b,3290,6.99 Earths,15.424,2016
Kepler-1117 b,1854,1.41 Earths,14.15,2016
Kepler-1118 b,2898,7.95 Earths,15.238,2016
Kepler-1119 b,5732,4.35 Earths,15.296,2016
Kepler-111 b,2144,3.12 Earths,13.543,2014
Kepler-1062 b,1296,3.75 Earths,15.095,2016
Kepler-1063 b,1120,2.83 Earths,13.029,2016
Kepler-1064 b,1220,3.02 Earths,13.958,2016
Kepler-1065 b,3662,13.4 Earths,15.744,2016
Kepler-1065 c,3662,3.19 Earths,15.744,2016
Kepler-1066 b,1123,6.17 Earths,13.115,2016
Kepler-1067 b,2178,0.437 Earths,14.395,2016
Kepler-1068 b,4807,12.8 Earths,16.096,2016
Kepler-1069 b,2270,3.19 Earths,13.234,2016
Kepler-106 b,1449,5.3 Earths,12.923,2014
Kepler-106 c,1449,10.44 Earths,12.923,2014
Kepler-106 d,1449,8.1 Earths,12.923,2014
Kepler-106 e,1449,11.17 Earths,12.923,2014
Kepler-1070 b,3063,3.64 Earths,14.133,2016
Kepler-1071 b,3400,6.26 Earths,15.881,2016
Kepler-1072 b,3206,3.12 Earths,13.972,2016
Kepler-1073 b,2642,5.9 Earths,14.749,2016
Kepler-1073 c,2642,3.33 Earths,14.749,2016
Kepler-1074 b,818,2.1 Earths,15.599,2016
Kepler-1075 b,950,2.6 Earths,15.909,2016
Kepler-1076 b,649,0.437 Earths,13.175,2016
Kepler-1077 b,3593,8.1 Earths,14.923,2016
Kepler-1078 b,8095,4.27 Earths,15.703,2016
Kepler-1079 b,1928,3.29 Earths,12.78,2016
Kepler-107 b,1716,3.51 Earths,12.543,2014
Kepler-107 c,1716,9.39 Earths,12.543,2014
Kepler-107 d,1716,3.8 Earths,12.543,2014
Kepler-107 e,1716,8.6 Earths,12.543,2014
Kepler-1080 b,4511,10.8 Earths,13.486,2016
Kepler-1081 b,1371,1.01 Earths,13.827,2016
Kepler-1136 b,1603,3.33 Earths,16.037,2016
Kepler-1137 b,3007,5.48 Earths,12.827,2016
Kepler-1138 b,2846,3.53 Earths,15.885,2016
Kepler-1139 b,1615,1.81 Earths,14.229,2016
Kepler-113 b,856,11.7 Earths,13.655,2014
Kepler-113 c,856,8.7 Earths,13.655,2014
Kepler-1140 b,2141,8.1 Earths,15.751,2016
Kepler-1141 b,1284,0.477 Earths,12.403,2016
Kepler-1142 b,4154,2.76 Earths,14.505,2016
Kepler-1143 b,1811,3.43 Earths,15.493,2016
Kepler-1136 b,1603,3.33 Earths,16.037,2016
Kepler-1137 b,3007,5.48 Earths,12.827,2016
Kepler-1138 b,2846,3.53 Earths,15.885,2016
Kepler-1139 b,1615,1.81 Earths,14.229,2016
Kepler-113 b,856,11.7 Earths,13.655,2014
Kepler-113 c,856,8.7 Earths,13.655,2014
Kepler-1140 b,2141,8.1 Earths,15.751,2016
Kepler-1141 b,1284,0.477 Earths,12.403,2016
Kepler-1142 b,4154,2.76 Earths,14.505,2016
Kepler-1143 b,1811,3.43 Earths,15.493,2016
Kepler-1136 b,1603,3.33 Earths,16.037,2016
Kepler-1137 b,3007,5.48 Earths,12.827,2016
Kepler-1138 b,2846,3.53 Earths,15.885,2016
Kepler-1139 b,1615,1.81 Earths,14.229,2016
Kepler-113 b,856,11.7 Earths,13.655,2014
Kepler-113 c,856,8.7 Earths,13.655,2014
Kepler-1140 b,2141,8.1 Earths,15.751,2016
Kepler-1141 b,1284,0.477 Earths,12.403,2016
Kepler-1142 b,4154,2.76 Earths,14.505,2016
Kepler-1143 b,1811,3.43 Earths,15.493,2016
Kepler-1136 b,1603,3.33 Earths,16.037,2016
Kepler-1137 b,3007,5.48 Earths,12.827,2016
Kepler-1138 b,2846,3.53 Earths,15.885,2016
Kepler-1139 b,1615,1.81 Earths,14.229,2016
Kepler-113 b,856,11.7 Earths,13.655,2014
Kepler-113 c,856,8.7 Earths,13.655,2014
Kepler-1140 b,2141,8.1 Earths,15.751,2016
Kepler-1141 b,1284,0.477 Earths,12.403,2016
Kepler-1142 b,4154,2.76 Earths,14.505,2016
Kepler-1143 b,1811,3.43 Earths,15.493,2016
Kepler-1143 c,1811,12.6 Earths,15.493,2016
Kepler-1144 b,3721,4.62 Earths,14.943,2016
Kepler-1145 b,2257,2.54 Earths,15.471,2016
Kepler-1146 b,2293,2.04 Earths,15.953,2016
Kepler-1147 b,5406,7.32 Earths,15.613,2016
